id,name,description,parentId,createdAt,updatedAt,heroBackgroundImage,isHeroTransparent,heroSubtitle,heroTitleFont,heroTitleColor,heroTitleSize,heroSubtitleFont,heroSubtitleColor,heroSubtitleSize,heroGradientFrom,heroGradientVia,heroGradientTo,categoryFont,categoryColor,categoryBgColor,ribbonColor,postCount,userGroupId,cityId,districtId,heroAlignment,backgroundColor,backgroundImage,borderBottomColor,borderColor,borderTopColor,gradientFrom,gradientTo,gradientVia,isGradient,isWallTransparent,isWallBackgroundRepeat,noBorder,navMenuBgColor,navMenuFont,navMenuFontSize,navMenuMainBold,navMenuTextColor,siteBackgroundColor,siteBackgroundImage,siteGradientFrom,siteGradientTo,siteGradientVia,siteIsGradient,contactName,contactPhone,contactEmail,homeCategoryIds,postitLimit,order,icon,logoUrl,logoPosition,logoSize,useParentLogo,useCustomLayout,customLayout
cmmuhu1pq000pw8qzc9xvj58t,Kayıp,Kayıp,cmmuhsl87000gw8qz5eduhe0o,2026-03-17T10:52:42.157Z,2026-03-17T10:52:42.157Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuhv8hq000sw8qz4vbxxv8h,ALIŞVERİŞ,Alışveriş,,2026-03-17T10:53:37.598Z,2026-03-17T18:55:44.572Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,true,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,🌿,,top-right,medium,false,false,"[]"
cmmuhvpvs000vw8qzri4j3c69,Pazarlar,Pazarlar,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T10:54:00.135Z,2026-03-17T18:56:28.738Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,true,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmuhwaq5000yw8qzo5p0pvgz,Mağazalar,Mağazalar,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T10:54:27.149Z,2026-03-17T11:14:57.792Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,10,,,top-right,medium,false,false,"[]"
cmmuhxjnf0011w8qzbju5isfr,Ürününü Buradan Sat,Ürününü Buradan Sat,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T10:55:25.371Z,2026-03-17T11:14:57.792Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,70,,,top-right,medium,false,false,"[]"
cmmuhyd0k0014w8qz9rgwl9zn,Bu Ürün Bu Fiyata Kaçmaz,Fiyat Karşılaştırmalar,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T10:56:03.427Z,2026-03-17T11:14:57.792Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,60,,,top-right,medium,false,false,"[]"
cmmuhyxyu0017w8qzohu810l8,Spotçular,Spotçular,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T10:56:30.582Z,2026-03-17T11:14:57.792Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,50,,,top-right,medium,false,false,"[]"
cmmuhzhq4001aw8qzh87lfogt,İndirimler,İndirimler,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T10:56:56.188Z,2026-03-17T11:14:57.792Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,40,,,top-right,medium,false,false,"[]"
cmmui08da001dw8qzzg56lrfz,İkinciel Satış,İkinciel Satış,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T10:57:30.718Z,2026-03-17T11:14:57.792Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,30,,,top-right,medium,false,false,"[]"
cmmuilenx001gw8qzjwtshqi5,AVM İndirimleri,AVM İndirimleri,cmmuhv8hq000sw8qz4vbxxv8h,2026-03-17T11:13:58.652Z,2026-03-17T11:14:57.792Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,20,,,top-right,medium,false,false,"[]"
